species,subpopulation,presence,data_type,tag_id,mld,PPupper200m,sla,sst,sst_sd,bathy,bathy_sd
Blue Whale,N Pacific,1,opportunistic sighting,1,12.3641471429305,27.0145116719333,0.00915483871231908,15.803976888242,0.630814296457189,-957.085188224456,812.532493817108
Blue Whale,N Pacific,1,opportunistic sighting,1,13.2867628574371,29.278112745285,0.0328354840976713,16.2113459760492,1.0815030700119,-629.067409411408,572.212504996087
Blue Whale,N Pacific,1,opportunistic sighting,1,13.0984139191477,44.8105277011269,-0.0308077273551713,14.1088176000686,1.0689179261256,-485.150663495945,384.886537004548
Blue Whale,N Pacific,1,opportunistic sighting,1,11.2638576507568,27.5503391265869,0.0141046282470874,15.9205112023787,1.17554501147193,-529.346412678506,420.737207523974
Blue Whale,N Pacific,1,opportunistic sighting,1,11.2638576507568,27.5503391265869,0.0141046282470874,15.9205112023787,1.17554501147193,-529.346412678506,420.737207523974
Blue Whale,N Pacific,1,opportunistic sighting,1,11.5828352841464,39.9313832237607,-0.00280446648740998,15.2657492160797,1.23365263656039,-544.57247240686,415.138078510272
Blue Whale,N Pacific,1,opportunistic sighting,1,10.6948462833058,29.9883075895764,0.0244928041065577,16.3512574036916,1.33950742934041,-544.57247240686,415.138078510272
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5839312235514,30.8395500183105,0.0154135484131984,17.4010106816011,1.13547595946217,-305.181058373108,264.274731911426
Blue Whale,N Pacific,1,opportunistic sighting,1,11.1300206937288,21.4358456929525,0.0439113640988415,16.6441527366638,1.18032490734689,-432.853354607175,357.862797965057
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5941055699399,28.8111921946208,0.0132812316719951,17.310821056366,1.10116732678679,-432.853354607175,357.862797965057
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5288858413696,7.4775212378729,-0.143380635551044,27.4487262907482,0.117681323499146,-3804.76467270605,62.0649044038738
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5288858413696,8.93350873674665,-0.0457752378923552,27.6219306219192,0.214926544897798,-3720.71696317001,59.5916170960057
Blue Whale,N Pacific,1,opportunistic sighting,1,11.3839082717896,32.6500731876918,0.0613630951515266,16.0544176101685,0.928360810083038,-1167.26398115017,772.838332704041
